Post_ID,Account_No,Post_Type,Date,Time,Caption,Likes,Comments,Shares,Views,Duration_Played,Hashtags,Followers_at_Post_Time
647,account_33,Reel,01-05-2029,19:21:11,Let's master the world of space exploration and create unforgettable visions!,8562,467,135,39827,52%,#spaceexploration #influencer,29145
656,account_39,Carousel,25-05-2029,10:16:48,Let's unveil the magic of photography and create unforgettable possibilities!,9305,369,74,46475,,#photography #influencer,25412
672,account_33,Reel,16-07-2029,13:42:13,5 daily habits for a balanced lifestyle.,2991,50,66,41349,65%,#WorkLifeBalance #LifeHacks,26381
673,account_14,Reel,19-07-2029,09:49:54,Let's dive into the magic of startups and create unforgettable memories!,1640,415,111,41543,84%,#startups #influencer,21831
675,account_30,Static_Image,29-07-2029,00:37:48,Let's unveil the beauty of finance and create unforgettable creations!,7057,304,256,47514,,#finance #influencer,24701
676,account_9,Static_Image,31-07-2029,07:06:54,Let's enhance the beauty of startups and create unforgettable memories!,8945,164,33,42991,,#startups #influencer,28762
681,account_42,Static_Image,13-08-2029,01:29:45,Let's celebrate a journey through education and create unforgettable memories!,833,113,143,34630,,#education #influencer,23916
682,account_30,Static_Image,17-08-2029,21:36:36,Let's dive into the beauty of food and create unforgettable dreams!,6661,137,159,40892,,#food #influencer,23383
690,account_50,Static_Image,07-09-2029,17:43:12,Let's explore the beauty of movies and create unforgettable visions!,3878,216,25,49380,,#movies #influencer,24962
692,account_3,Reel,14-09-2029,21:06:58,Let's unveil hidden gems of finance and create unforgettable experiences!,5704,86,219,21395,72%,#finance #influencer,24629
697,account_45,Static_Image,29-09-2029,04:36:07,Let's master the power of health and create unforgettable dreams!,8688,419,155,22284,,#health #influencer,29574
702,account_44,Carousel,14-10-2029,15:44:52,How machine learning is revolutionizing healthcare.,9787,307,258,45360,,#MachineLearning #AI,31138
703,account_32,Static_Image,19-10-2029,11:00:51,The basics of support vector machines explained.,9932,189,292,16598,,#SupervisedLearning #TechTalk,34684
706,account_48,Carousel,28-10-2029,04:47:10,Let's unveil the power of sports and create unforgettable moments!,2009,362,298,2912,,#sports #influencer,42378
708,account_24,Static_Image,05-11-2029,19:08:03,Let's enhance a journey through art and create unforgettable experiences!,1102,229,161,15552,,#art #influencer,44035
710,account_5,Carousel,08-11-2029,17:32:04,Let's celebrate the beauty of fashion and create unforgettable possibilities!,1336,463,179,22056,,#fashion #influencer,47727
716,account_26,Static_Image,25-11-2029,15:28:57,Let's dive into the power of marketing and create unforgettable moments!,741,399,73,1035,,#marketing #influencer,46080
718,account_15,Carousel,30-11-2029,22:19:59,What is unsupervised learning and how does it work?,939,280,68,4935,,#DeepLearning #MLPipeline,51871
720,account_50,Static_Image,06-12-2029,16:54:19,Let's ignite the magic of productivity and create unforgettable possibilities!,9844,173,123,34702,,#productivity #influencer,54108
722,account_46,Carousel,09-12-2029,07:53:53,Let's embrace hidden gems of history and create unforgettable experiences!,7813,67,183,32607,,#history #influencer,57304
737,account_1,Reel,18-01-2030,07:51:35,The role of data augmentation in improving ML models.,2570,406,52,42046,66%,#AIRevolution #MLTools,77951
740,account_44,Carousel,25-01-2030,11:58:42,Let's celebrate the magic of motivation and create unforgettable inspiration!,2313,372,101,48897,,#motivation #influencer,81656
749,account_19,Carousel,24-02-2030,22:58:50,Let's master the power of education and create unforgettable visions!,905,20,62,16318,,#education #influencer,65339
751,account_8,Reel,05-03-2030,00:36:57,Understanding decision trees in machine learning.,9257,336,242,17570,57%,#MLTips #AIForBeginners,68734
755,account_34,Static_Image,15-03-2030,07:12:16,Let's embrace the magic of self-care and create unforgettable memories!,7936,417,248,17202,,#self-care #influencer,69719
758,account_35,Reel,21-03-2030,18:35:21,How to visualize data for better ML insights.,6297,301,108,11384,88%,#MLAlgorithms #DataDriven,71968
760,account_48,Reel,30-03-2030,13:33:34,Let's transform hidden gems of self-care and create unforgettable dreams!,7384,394,145,24178,86%,#self-care #influencer,70830
764,account_25,Reel,10-04-2030,12:25:38,Let's enhance the world of productivity and create unforgettable stories!,7793,426,64,17428,89%,#productivity #influencer,79623
766,account_31,Reel,18-04-2030,14:02:53,A beginner’s guide to working with scikit-learn.,369,143,260,29481,74%,#MLForEveryone #AIAdvancements,86188
772,account_36,Reel,30-04-2030,10:46:28,Let's dive into hidden gems of startups and create unforgettable creations!,9991,288,260,13982,61%,#startups #influencer,90025
789,account_25,Reel,21-06-2030,14:19:04,Let's unveil the power of technology and create unforgettable possibilities!,9064,51,71,35451,87%,#technology #influencer,81139
790,account_23,Static_Image,23-06-2030,16:52:35,Beginner-friendly coding projects to try this weekend.,8300,41,285,34680,,#WeekendCoding #FunProjects,84064
791,account_50,Reel,27-06-2030,03:04:04,How machine learning drives advancements in renewable energy.,9653,274,87,30047,96%,#DataScience #LearnML,85722
799,account_43,Reel,26-07-2030,11:17:03,Understanding clustering algorithms with real-world examples.,9397,169,253,10651,52%,#MLForEveryone #AIAdvancements,83343
802,account_35,Static_Image,31-07-2030,12:47:58,Let's unveil hidden gems of mental health and create unforgettable creations!,7165,269,111,41436,,#mentalhealth #influencer,77916
812,account_49,Static_Image,24-08-2030,21:00:55,Let's master the magic of culture and create unforgettable dreams!,297,178,233,33799,,#culture #influencer,94874
815,account_27,Carousel,04-09-2030,18:08:20,Understanding loss functions in machine learning.,5575,390,107,21618,,#MLAlgorithms #DataDriven,92673
822,account_35,Reel,23-09-2030,06:33:32,Let's transform the world of technology and create unforgettable experiences!,5754,405,242,7961,77%,#technology #influencer,96322
836,account_31,Static_Image,01-11-2030,21:41:42,The role of big data in machine learning advancements.,4570,227,234,49269,,#DataScience #LearnML,94533
837,account_47,Carousel,03-11-2030,09:04:56,Let's celebrate the world of beauty and create unforgettable dreams!,5601,334,157,42424,,#beauty #influencer,97836
840,account_47,Static_Image,14-11-2030,04:47:07,Top 3 tools every machine learning enthusiast should know.,3057,181,76,22673,,#MLTips #AIForBeginners,100351
850,account_39,Static_Image,12-12-2030,13:57:12,Let's embrace the magic of food and create unforgettable stories!,744,242,262,23205,,#food #influencer,105394
853,account_31,Static_Image,22-12-2030,07:55:57,Let's celebrate the magic of parenting and create unforgettable visions!,1463,145,152,41963,,#parenting #influencer,105781
856,account_28,Carousel,02-01-2031,10:58:55,Machine learning vs traditional programming: Key differences.,2047,302,225,29389,,#MLForEveryone #AIAdvancements,114413
872,account_36,Static_Image,22-02-2031,19:50:27,How to choose the best evaluation metric for your ML model.,1665,492,103,11832,,#DeepLearning #MLPipeline,118573
876,account_7,Reel,03-03-2031,19:36:50,Let's embrace hidden gems of productivity and create unforgettable possibilities!,6721,435,96,25325,69%,#productivity #influencer,117908
878,account_50,Carousel,07-03-2031,21:29:59,Understanding the curse of dimensionality in ML.,5316,289,285,41377,,#MLBasics #TechInnovation,118526
921,account_40,Carousel,23-06-2031,23:30:23,Let's dive into a journey through science and create unforgettable memories!,5390,464,297,5736,,#science #influencer,101470
939,account_45,Carousel,15-08-2031,01:16:04,Why ensemble methods boost ML model performance.,1688,258,233,40950,,#DeepLearning #MLPipeline,111642
941,account_33,Carousel,18-08-2031,10:04:58,Let's transform the power of automobile and create unforgettable adventures!,6178,63,269,11789,,#automobile #influencer,110027
956,account_18,Static_Image,02-10-2031,04:52:21,Let's master the power of food and create unforgettable inspiration!,1358,372,94,44839,,#food #influencer,121944
960,account_14,Reel,13-10-2031,07:26:27,The role of feature selection in improving ML models.,6639,426,84,42664,98%,#DataScience #LearnML,120223
966,account_32,Static_Image,31-10-2031,22:35:14,Let's transform the beauty of fitness challenges and create unforgettable visions!,867,345,212,35630,,#fitnesschallenges #influencer,111480
971,account_12,Static_Image,20-11-2031,03:15:58,Let's master the beauty of startups and create unforgettable experiences!,6471,357,216,39458,,#startups #influencer,117846
990,account_12,Carousel,16-01-2032,00:12:56,Let's enhance the magic of nature and create unforgettable stories!,2329,399,157,27889,,#nature #influencer,114440
998,account_17,Carousel,08-02-2032,05:32:36,Let's transform the world of interior design and create unforgettable experiences!,6308,195,26,49495,,#interiordesign #influencer,135524
1000,account_48,Reel,14-02-2032,05:13:21,A guide to anomaly detection using machine learning.,6147,313,214,49733,64%,#MLBasics #TechInnovation,141565
1002,account_19,Reel,20-02-2032,04:22:12,Let's celebrate the power of movies and create unforgettable moments!,3366,352,127,22427,66%,#movies #influencer,137141
1011,account_34,Reel,18-03-2032,03:14:17,Let's explore the power of technology and create unforgettable inspiration!,9638,132,167,31375,64%,#technology #influencer,135874
1032,account_45,Static_Image,08-05-2032,21:42:05,Let's enhance the beauty of fashion and create unforgettable possibilities!,6050,51,33,6273,,#fashion #influencer,132418
1046,account_21,Carousel,23-06-2032,02:10:34,Let's dive into the beauty of technology and create unforgettable moments!,2612,409,251,2801,,#technology #influencer,117776
1048,account_38,Static_Image,26-06-2032,14:31:54,Let's celebrate a journey through innovation and create unforgettable stories!,1840,213,135,29147,,#innovation #influencer,116591
1050,account_28,Static_Image,01-07-2032,07:35:32,Let's celebrate the world of relationships and create unforgettable possibilities!,3629,187,38,28602,,#relationships #influencer,119491
1063,account_40,Reel,09-08-2032,14:27:56,Let's ignite hidden gems of charity and create unforgettable moments!,3907,71,220,9047,81%,#charity #influencer,97595
1078,account_2,Carousel,12-09-2032,03:32:49,Let's transform a journey through education and create unforgettable memories!,3097,385,50,19122,,#education #influencer,111262
1081,account_11,Carousel,25-09-2032,00:41:35,What is semi-supervised learning and when to use it?,5390,136,59,11969,,#MLForEveryone #AIAdvancements,110210
1098,account_4,Static_Image,16-11-2032,10:19:26,How transfer learning accelerates ML model training.,2171,371,167,10264,,#MLProjects #TechWorld,110003
1099,account_12,Carousel,20-11-2032,19:55:31,Let's embrace the magic of nature and create unforgettable possibilities!,5487,142,144,23871,,#nature #influencer,113894
1112,account_32,Static_Image,31-12-2032,15:32:14,Tips for training deep learning models efficiently.,7776,232,298,23698,,#MLAlgorithms #DataDriven,102656
1131,account_50,Carousel,10-03-2033,10:40:15,Let's capture the power of lifestyle and create unforgettable memories!,6565,258,174,7551,,#lifestyle #influencer,98749
1132,account_17,Static_Image,12-03-2033,20:05:37,Let's ignite a journey through fitness and create unforgettable stories!,862,102,72,1366,,#fitness #influencer,94700
1135,account_15,Carousel,27-03-2033,09:37:20,How to deploy machine learning models in production.,2454,245,17,8566,,#AIRevolution #MLTools,94438
1138,account_5,Carousel,04-04-2033,22:02:20,Let's explore the power of technology and create unforgettable stories!,2939,111,94,34761,,#technology #influencer,86446
1149,account_48,Static_Image,12-05-2033,03:56:43,Let's transform hidden gems of books and create unforgettable moments!,379,191,66,879,,#books #influencer,88036
1150,account_6,Reel,16-05-2033,05:58:38,Let's dive into a journey through entrepreneurship and create unforgettable moments!,188,28,36,2375,72%,#entrepreneurship #influencer,83516
1159,account_27,Static_Image,10-06-2033,11:37:30,Reinforcement learning explained with real-world examples.,5456,343,267,34462,,#MLForEveryone #AIAdvancements,84164
1162,account_29,Static_Image,17-06-2033,09:07:52,An introduction to natural language processing and ML.,9311,494,103,28028,,#MachineLearning #AI,89350
1167,account_9,Reel,02-07-2033,19:16:34,The basics of probabilistic models in ML.,3527,419,183,12042,58%,#MLBasics #TechInnovation,81744
1177,account_18,Reel,31-07-2033,09:09:58,Let's dive into the beauty of travel and create unforgettable experiences!,514,346,61,45614,55%,#travel #influencer,87481
1184,account_25,Reel,27-08-2033,22:56:35,Let's enhance the magic of education and create unforgettable possibilities!,9176,416,165,45320,55%,#education #influencer,90635
1192,account_44,Reel,13-09-2033,04:20:25,Let's explore the magic of writing and create unforgettable moments!,9110,482,282,38288,83%,#writing #influencer,102042
1195,account_21,Carousel,26-09-2033,04:13:17,Let's explore a journey through adventure and create unforgettable visions!,819,126,172,3777,,#adventure #influencer,98660
1197,account_42,Static_Image,05-10-2033,22:24:06,Let's embrace the beauty of nature and create unforgettable memories!,9164,461,255,22301,,#nature #influencer,98409
1203,account_29,Reel,26-10-2033,23:52:23,Let's enhance a journey through startups and create unforgettable visions!,4361,241,39,9135,50%,#startups #influencer,88703
1205,account_25,Reel,29-10-2033,06:13:22,Let's enhance the beauty of music and create unforgettable experiences!,3419,253,235,29998,81%,#music #influencer,89730
1214,account_48,Reel,27-11-2033,15:41:05,The future of quantum computing and machine learning.,548,143,57,43128,93%,#MLBasics #TechInnovation,92603
1215,account_6,Static_Image,02-12-2033,14:12:28,Common challenges in machine learning and how to overcome them.,303,133,10,14531,,#MLBasics #TechInnovation,89328
1219,account_4,Carousel,16-12-2033,16:49:34,Understanding the basics of gradient boosting algorithms.,2010,484,180,32847,,#MLTips #AIForBeginners,85737
1228,account_41,Static_Image,21-01-2034,01:01:19,Let's enhance the magic of photography and create unforgettable adventures!,4167,218,113,5148,,#photography #influencer,78019
1249,account_39,Reel,26-03-2034,10:29:47,A guide to building your first ML model from scratch.,3793,183,98,10949,62%,#MLProjects #TechWorld,66682
1254,account_14,Carousel,15-04-2034,21:24:21,Let's transform the power of robotics and create unforgettable experiences!,1450,151,215,13883,,#robotics #influencer,67838
1272,account_29,Carousel,09-06-2034,04:48:29,The importance of data preprocessing in machine learning.,9968,170,212,49975,,#AIRevolution #MLTools,73692
1275,account_29,Carousel,17-06-2034,17:04:43,Let's dive into the magic of food and create unforgettable moments!,4415,267,213,6989,,#food #influencer,72896
1288,account_34,Reel,28-07-2034,13:03:06,Let's ignite a journey through photography and create unforgettable inspiration!,6009,413,224,22107,58%,#photography #influencer,59992
1299,account_29,Static_Image,03-09-2034,10:05:40,Let's enhance the power of motivation and create unforgettable experiences!,3423,465,237,9803,,#motivation #influencer,54083
1309,account_12,Carousel,29-09-2034,14:09:11,Let's enhance the beauty of technology and create unforgettable creations!,3764,340,215,16139,,#technology #influencer,55526
1319,account_34,Static_Image,30-10-2034,02:53:23,Let's master a journey through startups and create unforgettable adventures!,1627,57,216,1987,,#startups #influencer,62902
1327,account_29,Reel,26-11-2034,01:35:32,Let's ignite the magic of animals and create unforgettable moments!,2321,35,10,22750,63%,#animals #influencer,64635
1329,account_36,Reel,29-11-2034,23:04:35,Let's embrace the power of mental health and create unforgettable creations!,4632,93,12,41637,70%,#mentalhealth #influencer,64709
1337,account_46,Reel,29-12-2034,11:42:25,Let's enhance the beauty of animals and create unforgettable inspiration!,7182,378,154,8340,83%,#animals #influencer,68874
1339,account_14,Reel,03-01-2035,13:01:10,Let's master a journey through startups and create unforgettable creations!,4172,69,257,39649,90%,#startups #influencer,64221
1358,account_27,Reel,25-02-2035,09:47:24,Let's enhance the beauty of animals and create unforgettable memories!,4953,50,189,11399,93%,#animals #influencer,87940
1359,account_23,Carousel,01-03-2035,06:21:50,Let's transform hidden gems of parenting and create unforgettable visions!,9057,426,70,14376,,#parenting #influencer,91713
1363,account_1,Reel,14-03-2035,03:53:44,Let's explore hidden gems of movies and create unforgettable creations!,4002,392,125,8825,85%,#movies #influencer,95471
1366,account_4,Reel,22-03-2035,18:01:04,Let's explore the world of adventure and create unforgettable inspiration!,2783,98,67,3181,62%,#adventure #influencer,91541
1393,account_45,Carousel,13-06-2035,10:46:24,Let's celebrate the world of technology and create unforgettable experiences!,1001,105,22,1236,,#technology #influencer,73547
1397,account_36,Reel,26-06-2035,11:31:58,How adversarial attacks challenge machine learning models.,9798,429,11,12911,62%,#MachineLearning #AI,78682
1400,account_2,Reel,07-07-2035,13:29:44,Let's celebrate hidden gems of lifestyle and create unforgettable creations!,1234,269,29,39907,83%,#lifestyle #influencer,84664
1427,account_43,Reel,06-10-2035,17:24:18,Let's ignite hidden gems of innovation and create unforgettable inspiration!,3886,278,189,47546,98%,#innovation #influencer,82621
1437,account_37,Reel,03-11-2035,23:33:47,Let's dive into the beauty of education and create unforgettable inspiration!,7435,96,145,46688,69%,#education #influencer,95644
1456,account_28,Carousel,26-12-2035,06:03:16,Let's transform a journey through interior design and create unforgettable experiences!,5792,171,119,27016,,#interiordesign #influencer,106119
1477,account_15,Carousel,02-03-2036,09:05:01,Let's transform the world of adventure and create unforgettable adventures!,1459,200,59,49779,,#adventure #influencer,102398
1500,account_12,Static_Image,05-05-2036,08:36:38,Let's unveil a journey through travel and create unforgettable creations!,6002,359,283,22725,,#travel #influencer,102141
1501,account_31,Static_Image,07-05-2036,13:37:39,Let's embrace the beauty of innovation and create unforgettable stories!,847,79,145,39781,,#innovation #influencer,105664
1530,account_27,Static_Image,11-08-2036,18:36:00,Let's explore the magic of robotics and create unforgettable dreams!,1167,274,284,15694,,#robotics #influencer,115366
1542,account_48,Reel,22-09-2036,08:20:40,How to implement k-means clustering from scratch.,3740,324,185,36215,59%,#SupervisedLearning #TechTalk,112657
1545,account_47,Reel,04-10-2036,21:46:40,The importance of cross-validation in model training.,539,473,11,20091,77%,#MLTips #AIForBeginners,115512
